Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
5.04,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
10.03,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
15.27,21.2718,21.594099999999997,21.11613876319759,21.11613876319759,50.0,50.0
20.03,21.9164,21.9164,21.11613876319759,21.11613876319759,50.0,50.0
25.09,22.238699999999998,22.238699999999998,21.11613876319759,21.11613876319759,50.0,50.0
30.06,22.561,22.8833,21.11613876319759,21.11613876319759,50.0,50.0
35.46,23.205599999999997,23.205599999999997,21.11613876319759,21.11613876319759,50.0,50.0
40.13,23.5279,23.5279,21.11613876319759,21.11613876319759,50.0,50.0
45.16,24.1725,24.1725,21.11613876319759,21.11613876319759,50.0,50.0
50.15,24.494799999999998,24.494799999999998,21.11613876319759,21.11613876319759,50.0,50.0
55.01,25.1394,25.1394,21.11613876319759,21.11613876319759,50.0,50.0
60.11,25.461699999999997,25.461699999999997,21.11613876319759,21.11613876319759,50.0,50.0
65.76,25.784,26.106299999999997,21.11613876319759,21.11613876319759,50.0,50.0
70.44,26.4286,26.4286,21.11613876319759,21.11613876319759,50.0,50.0
75.14,26.750899999999998,27.073199999999996,21.11613876319759,21.11613876319759,50.0,50.0
85.01,27.717799999999997,27.717799999999997,21.11613876319759,21.11613876319759,50.0,50.0
90.14,28.362399999999997,28.0401,21.11613876319759,21.11613876319759,50.0,50.0
95.64,28.6847,28.6847,21.11613876319759,21.11613876319759,50.0,50.0
100.02,29.006999999999998,29.006999999999998,21.11613876319759,21.11613876319759,50.0,50.0
105.2,29.329299999999996,29.329299999999996,21.11613876319759,21.11613876319759,50.0,50.0
110.83,29.6516,29.6516,21.11613876319759,21.11613876319759,50.0,50.0
115.14,29.973899999999997,29.973899999999997,21.11613876319759,21.11613876319759,50.0,50.0
120.26,30.2962,30.2962,21.11613876319759,21.11613876319759,50.0,50.0
125.06,30.618499999999997,30.618499999999997,21.11613876319759,21.11613876319759,50.0,50.0
130.2,30.940799999999996,30.940799999999996,21.11613876319759,21.11613876319759,50.0,50.0
