Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,51.28205128205129,51.28205128205129,50.0,50.0
15.68,22.238699999999998,22.238699999999998,51.28205128205129,51.28205128205129,50.0,50.0
20.02,23.205599999999997,23.205599999999997,51.28205128205129,51.28205128205129,50.0,50.0
29.02,24.817099999999996,25.1394,51.28205128205129,51.28205128205129,50.0,50.0
30.12,25.1394,25.1394,51.28205128205129,51.28205128205129,50.0,50.0
35.1,26.4286,26.4286,51.28205128205129,51.28205128205129,50.0,50.0
44.04,28.362399999999997,28.362399999999997,51.28205128205129,51.28205128205129,50.0,50.0
45.09,28.6847,28.6847,51.28205128205129,51.28205128205129,50.0,50.0
50.05,29.973899999999997,29.973899999999997,51.28205128205129,51.28205128205129,50.0,50.0
59.25,31.9077,31.9077,51.28205128205129,51.28205128205129,50.0,50.0
60.01,32.23,32.23,51.28205128205129,51.28205128205129,50.0,50.0
65.05,33.1969,33.5192,51.28205128205129,51.28205128205129,50.0,50.0
74.05,35.1307,35.1307,51.28205128205129,51.28205128205129,50.0,50.0
75.04,35.452999999999996,35.452999999999996,51.28205128205129,51.28205128205129,50.0,50.0
80.06,36.4199,36.7422,51.28205128205129,51.28205128205129,50.0,50.0
89.06,38.353699999999996,38.353699999999996,51.28205128205129,51.28205128205129,50.0,50.0
90.03,38.675999999999995,38.675999999999995,51.28205128205129,51.28205128205129,50.0,50.0
95.05,39.6429,39.6429,51.28205128205129,51.28205128205129,50.0,50.0
105.06,41.576699999999995,41.2544,51.28205128205129,51.28205128205129,50.0,50.0
110.04,42.2213,42.2213,51.28205128205129,51.28205128205129,50.0,50.0
120.11,43.8328,43.8328,51.28205128205129,51.28205128205129,50.0,50.0
125.11,44.799699999999994,44.799699999999994,51.28205128205129,51.28205128205129,50.0,50.0
134.15,46.088899999999995,46.088899999999995,51.28205128205129,51.28205128205129,50.0,50.0
135.08,46.411199999999994,46.411199999999994,51.28205128205129,51.28205128205129,50.0,50.0
140.07,47.0558,47.0558,51.28205128205129,51.28205128205129,50.0,50.0
149.19,48.345,48.345,51.28205128205129,51.28205128205129,50.0,50.0
150.07,48.345,48.345,51.28205128205129,51.28205128205129,50.0,50.0
155.03,48.989599999999996,48.989599999999996,51.28205128205129,51.28205128205129,50.0,50.0
160.01,49.63419999999999,49.63419999999999,51.28205128205129,51.28205128205129,50.0,50.0
165.01,49.9565,49.9565,51.28205128205129,51.28205128205129,50.0,50.0
171.34,50.923399999999994,50.923399999999994,51.28205128205129,51.28205128205129,50.0,50.0
183.69,52.212599999999995,52.212599999999995,0,0,50.0,50.0
185.04,52.212599999999995,52.212599999999995,0,0,50.0,50.0
191.37,52.53489999999999,52.53489999999999,0,0,50.0,50.0
200.98,52.212599999999995,52.212599999999995,0,0,50.0,50.0
205.05,51.890299999999996,51.568,0,0,50.0,50.0
211.07,50.923399999999994,50.923399999999994,0,0,50.0,50.0
224.43,48.989599999999996,48.989599999999996,51.28205128205129,51.28205128205129,50.0,50.0
225.09,48.989599999999996,48.989599999999996,51.28205128205129,51.28205128205129,50.0,50.0
230.06,48.345,48.345,51.28205128205129,51.28205128205129,50.0,50.0
235.07,48.02269999999999,48.02269999999999,51.28205128205129,51.28205128205129,50.0,50.0
240.02,48.02269999999999,48.02269999999999,51.28205128205129,51.28205128205129,50.0,50.0
246.47,48.02269999999999,48.02269999999999,51.28205128205129,51.28205128205129,50.0,50.0
260.54,48.989599999999996,48.989599999999996,51.28205128205129,51.28205128205129,50.0,50.0
265.02,49.311899999999994,49.311899999999994,51.28205128205129,51.28205128205129,50.0,50.0
270.11,49.63419999999999,49.63419999999999,51.28205128205129,51.28205128205129,50.0,50.0
276.38,50.2788,50.2788,51.28205128205129,51.28205128205129,50.0,50.0
288.8,51.568,51.568,0,0,50.0,50.0
290.05,51.568,51.568,0,0,50.0,50.0
296.33,51.890299999999996,51.890299999999996,0,0,50.0,50.0
306.44,51.568,51.568,0,0,50.0,50.0
310.07,50.923399999999994,50.923399999999994,0,0,50.0,50.0
315.25,50.601099999999995,50.2788,0,0,50.0,50.0
320.07,49.63419999999999,49.9565,0,0,50.0,50.0
335.6,47.378099999999996,47.378099999999996,51.28205128205129,51.28205128205129,50.0,50.0
340.01,46.7335,47.0558,51.28205128205129,51.28205128205129,50.0,50.0
349.18,46.411199999999994,46.411199999999994,51.28205128205129,51.28205128205129,50.0,50.0
350.05,46.411199999999994,46.411199999999994,51.28205128205129,51.28205128205129,50.0,50.0
355.03,46.411199999999994,46.411199999999994,51.28205128205129,51.28205128205129,50.0,50.0
364.09,47.0558,47.0558,51.28205128205129,51.28205128205129,50.0,50.0
365.05,47.0558,47.0558,51.28205128205129,51.28205128205129,50.0,50.0
370.08,47.378099999999996,47.378099999999996,51.28205128205129,51.28205128205129,50.0,50.0
375.01,47.700399999999995,48.02269999999999,51.28205128205129,51.28205128205129,50.0,50.0
380.09,48.345,48.345,51.28205128205129,51.28205128205129,50.0,50.0
385.98,48.989599999999996,48.989599999999996,51.28205128205129,51.28205128205129,50.0,50.0
