Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
5.02,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
10.02,21.2718,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
15.04,21.2718,21.2718,27.541478129713425,19.215686274509807,56.0,50.0
20.05,21.9164,21.9164,55.38461538461539,10.980392156862747,82.0,50.0
25.04,22.238699999999998,22.238699999999998,55.38461538461539,10.980392156862747,82.0,50.0
30.0,23.205599999999997,22.561,55.38461538461539,10.980392156862747,82.0,50.0
35.06,24.1725,22.8833,55.38461538461539,10.980392156862747,82.0,50.0
40.06,25.1394,23.205599999999997,55.38461538461539,10.980392156862747,82.0,50.0
45.17,26.106299999999997,23.5279,55.38461538461539,10.980392156862747,82.0,50.0
50.02,27.3955,23.850199999999997,55.38461538461539,10.980392156862747,82.0,50.0
55.09,28.6847,24.1725,55.38461538461539,10.980392156862747,82.0,50.0
60.07,29.6516,24.817099999999996,55.38461538461539,10.980392156862747,82.0,50.0
65.11,30.940799999999996,25.1394,55.38461538461539,10.980392156862747,82.0,50.0
70.01,31.9077,25.461699999999997,55.38461538461539,10.980392156862747,82.0,50.0
75.01,32.8746,25.784,55.38461538461539,10.980392156862747,82.0,50.0
80.24,34.163799999999995,26.106299999999997,58.235294117647065,1.3423831070889891,82.0,41.0
85.03,35.1307,26.4286,59.502262443438916,0,82.0,37.0
90.24,36.0976,26.750899999999998,59.819004524886886,0,82.0,36.0
95.19,37.064499999999995,26.750899999999998,59.819004524886886,0,82.0,36.0
100.01,38.353699999999996,27.073199999999996,59.819004524886886,0,82.0,36.0
105.01,38.9983,27.073199999999996,59.819004524886886,0,82.0,36.0
110.27,40.287499999999994,27.073199999999996,59.819004524886886,0,82.0,36.0
115.22,40.9321,27.3955,59.819004524886886,0,82.0,36.0
120.14,41.898999999999994,27.3955,59.819004524886886,0,82.0,36.0
125.06,42.865899999999996,27.3955,59.819004524886886,0,82.0,36.0
130.2,43.8328,27.3955,59.819004524886886,0,82.0,36.0
135.07,44.1551,27.3955,59.819004524886886,0,82.0,36.0
140.27,45.122,27.3955,59.819004524886886,0,82.0,36.0
145.21,45.7666,27.3955,59.819004524886886,0,82.0,36.0
150.19,46.7335,27.717799999999997,59.819004524886886,0,82.0,36.0
155.02,47.378099999999996,27.717799999999997,59.819004524886886,0,82.0,36.0
160.15,48.02269999999999,27.717799999999997,59.819004524886886,0,82.0,36.0
165.27,48.6673,27.717799999999997,59.819004524886886,0,82.0,36.0
170.05,49.311899999999994,27.717799999999997,59.819004524886886,0,82.0,36.0
175.02,49.9565,27.717799999999997,59.819004524886886,0,82.0,36.0
180.29,50.601099999999995,27.717799999999997,59.819004524886886,0,82.0,36.0
185.02,50.923399999999994,27.717799999999997,59.819004524886886,0,82.0,36.0
190.19,51.568,27.717799999999997,59.819004524886886,0,82.0,36.0
195.11,52.212599999999995,27.717799999999997,59.819004524886886,0,82.0,36.0
200.2,52.53489999999999,27.717799999999997,59.819004524886886,0,82.0,36.0
