Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
5.02,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
10.03,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
15.03,21.2718,21.2718,21.11613876319759,21.11613876319759,50.0,50.0
20.0,21.9164,21.9164,21.11613876319759,21.11613876319759,50.0,50.0
25.0,22.238699999999998,22.238699999999998,21.11613876319759,21.11613876319759,50.0,50.0
30.05,22.561,22.561,21.11613876319759,21.11613876319759,50.0,50.0
35.07,23.205599999999997,23.205599999999997,21.11613876319759,21.11613876319759,50.0,50.0
40.02,23.5279,23.5279,21.11613876319759,21.11613876319759,50.0,50.0
