Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
5.01,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
10.03,21.2718,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
15.04,21.594099999999997,21.2718,21.11613876319759,21.11613876319759,50.0,50.0
20.02,21.594099999999997,21.9164,21.11613876319759,21.11613876319759,50.0,50.0
25.03,22.238699999999998,22.238699999999998,21.11613876319759,21.11613876319759,50.0,50.0
30.07,22.561,22.561,21.11613876319759,21.11613876319759,50.0,50.0
35.0,23.205599999999997,23.205599999999997,21.11613876319759,21.11613876319759,50.0,50.0
