Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,51.28205128205129,51.28205128205129,50.0,50.0
5.03,20.949499999999997,20.949499999999997,51.28205128205129,51.28205128205129,50.0,50.0
10.03,21.594099999999997,21.594099999999997,51.28205128205129,51.28205128205129,50.0,50.0
15.02,22.238699999999998,22.238699999999998,51.28205128205129,51.28205128205129,50.0,50.0
20.04,23.205599999999997,23.205599999999997,51.28205128205129,51.28205128205129,50.0,50.0
25.02,24.1725,24.1725,51.28205128205129,51.28205128205129,50.0,50.0
30.01,25.1394,25.1394,51.28205128205129,51.28205128205129,50.0,50.0
35.11,26.4286,26.4286,51.28205128205129,51.28205128205129,50.0,50.0
40.12,27.3955,27.717799999999997,51.28205128205129,51.28205128205129,50.0,50.0
45.0,28.6847,28.6847,51.28205128205129,51.28205128205129,50.0,50.0
50.12,29.6516,29.973899999999997,51.28205128205129,51.28205128205129,50.0,50.0
55.21,30.940799999999996,30.940799999999996,51.28205128205129,51.28205128205129,50.0,50.0
60.29,32.23,32.23,51.28205128205129,51.28205128205129,50.0,50.0
65.05,33.1969,33.1969,51.28205128205129,51.28205128205129,50.0,50.0
70.16,34.4861,34.4861,51.28205128205129,51.28205128205129,50.0,50.0
75.14,35.452999999999996,35.452999999999996,51.28205128205129,51.28205128205129,50.0,50.0
80.2,36.7422,36.7422,51.28205128205129,51.28205128205129,50.0,50.0
85.04,37.7091,37.7091,51.28205128205129,51.28205128205129,50.0,50.0
90.15,38.675999999999995,38.675999999999995,51.28205128205129,51.28205128205129,50.0,50.0
95.21,39.6429,39.6429,51.28205128205129,51.28205128205129,50.0,50.0
100.23,40.6098,40.6098,51.28205128205129,51.28205128205129,50.0,50.0
105.28,41.576699999999995,41.576699999999995,51.28205128205129,51.28205128205129,50.0,50.0
110.06,42.2213,42.2213,51.28205128205129,51.28205128205129,50.0,50.0
115.19,43.188199999999995,43.188199999999995,51.28205128205129,51.28205128205129,50.0,50.0
120.19,44.1551,43.8328,51.28205128205129,51.28205128205129,50.0,50.0
125.23,44.799699999999994,44.799699999999994,51.28205128205129,51.28205128205129,50.0,50.0
130.2,45.4443,45.4443,51.28205128205129,51.28205128205129,50.0,50.0
135.15,46.088899999999995,46.088899999999995,51.28205128205129,51.28205128205129,50.0,50.0
140.21,47.0558,47.0558,51.28205128205129,51.28205128205129,50.0,50.0
145.1,47.700399999999995,47.700399999999995,51.28205128205129,51.28205128205129,50.0,50.0
150.11,48.345,48.345,51.28205128205129,51.28205128205129,50.0,50.0
155.16,48.989599999999996,48.989599999999996,51.28205128205129,51.28205128205129,50.0,50.0
160.13,49.63419999999999,49.63419999999999,51.28205128205129,51.28205128205129,50.0,50.0
165.23,50.2788,50.2788,51.28205128205129,51.28205128205129,50.0,50.0
170.27,50.923399999999994,50.923399999999994,51.28205128205129,51.28205128205129,50.0,50.0
