Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
5.03,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
10.02,21.2718,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
15.04,21.2718,21.594099999999997,21.11613876319759,21.11613876319759,50.0,50.0
20.06,21.9164,21.9164,21.11613876319759,21.11613876319759,50.0,50.0
25.05,22.238699999999998,22.238699999999998,21.11613876319759,21.11613876319759,50.0,50.0
30.07,22.561,22.561,21.11613876319759,21.11613876319759,50.0,50.0
35.06,23.205599999999997,23.205599999999997,21.11613876319759,21.11613876319759,50.0,50.0
40.09,23.5279,23.5279,21.11613876319759,21.11613876319759,50.0,50.0
45.08,24.1725,24.1725,21.11613876319759,21.11613876319759,50.0,50.0
50.09,24.494799999999998,24.494799999999998,21.11613876319759,21.11613876319759,50.0,50.0
55.08,24.817099999999996,25.1394,21.11613876319759,21.11613876319759,50.0,50.0
65.07,26.106299999999997,26.106299999999997,21.11613876319759,21.11613876319759,50.0,50.0
70.09,26.4286,26.4286,21.11613876319759,21.11613876319759,50.0,50.0
75.03,26.750899999999998,27.073199999999996,21.11613876319759,21.11613876319759,50.0,50.0
80.11,27.3955,27.3955,21.11613876319759,21.11613876319759,50.0,50.0
85.15,27.717799999999997,27.717799999999997,21.11613876319759,21.11613876319759,50.0,50.0
95.04,28.6847,28.6847,21.11613876319759,21.11613876319759,50.0,50.0
100.05,29.006999999999998,29.006999999999998,21.11613876319759,21.11613876319759,50.0,50.0
105.07,29.329299999999996,29.329299999999996,21.11613876319759,21.11613876319759,50.0,50.0
110.12,29.6516,29.6516,21.11613876319759,21.11613876319759,50.0,50.0
115.14,29.973899999999997,29.973899999999997,21.11613876319759,21.11613876319759,50.0,50.0
125.09,30.618499999999997,30.618499999999997,21.11613876319759,21.11613876319759,50.0,50.0
130.12,30.940799999999996,30.940799999999996,21.11613876319759,21.11613876319759,50.0,50.0
140.08,31.585399999999996,31.585399999999996,21.11613876319759,21.11613876319759,50.0,50.0
145.1,31.9077,31.9077,21.11613876319759,21.11613876319759,50.0,50.0
155.08,32.23,32.552299999999995,21.11613876319759,21.11613876319759,50.0,50.0
160.1,32.552299999999995,32.552299999999995,21.11613876319759,21.11613876319759,50.0,50.0
170.1,33.1969,33.1969,21.11613876319759,21.11613876319759,50.0,50.0
175.15,33.5192,33.5192,21.11613876319759,21.11613876319759,50.0,50.0
185.08,33.841499999999996,33.841499999999996,21.11613876319759,21.11613876319759,50.0,50.0
190.1,33.841499999999996,34.163799999999995,21.11613876319759,21.11613876319759,50.0,50.0
200.11,34.4861,34.4861,21.11613876319759,21.11613876319759,50.0,50.0
205.04,34.4861,34.4861,21.11613876319759,21.11613876319759,50.0,50.0
215.08,34.8084,35.1307,21.11613876319759,21.11613876319759,50.0,50.0
220.1,35.1307,35.1307,21.11613876319759,21.11613876319759,50.0,50.0
225.0,35.1307,35.1307,21.11613876319759,21.11613876319759,50.0,50.0
230.07,35.452999999999996,35.452999999999996,21.11613876319759,21.11613876319759,50.0,50.0
235.16,35.775299999999994,35.775299999999994,21.11613876319759,21.11613876319759,50.0,50.0
240.1,35.775299999999994,35.775299999999994,21.11613876319759,21.11613876319759,50.0,50.0
255.06,36.0976,36.0976,21.11613876319759,21.11613876319759,50.0,50.0
260.09,36.0976,36.0976,21.11613876319759,21.11613876319759,50.0,50.0
270.07,36.4199,36.4199,21.11613876319759,21.11613876319759,50.0,50.0
275.09,36.4199,36.4199,21.11613876319759,21.11613876319759,50.0,50.0
285.06,36.7422,36.7422,21.11613876319759,21.11613876319759,50.0,50.0
290.07,37.064499999999995,36.7422,21.11613876319759,21.11613876319759,50.0,50.0
295.08,37.064499999999995,37.064499999999995,21.11613876319759,21.11613876319759,50.0,50.0
300.07,37.064499999999995,37.064499999999995,21.11613876319759,21.11613876319759,50.0,50.0
305.11,37.064499999999995,37.064499999999995,21.11613876319759,21.11613876319759,50.0,50.0
315.07,37.386799999999994,37.386799999999994,21.11613876319759,21.11613876319759,50.0,50.0
320.08,37.386799999999994,37.386799999999994,21.11613876319759,21.11613876319759,50.0,50.0
