Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
5.21,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
10.06,21.2718,21.2718,21.11613876319759,21.11613876319759,50.0,50.0
15.23,21.594099999999997,21.2718,21.11613876319759,21.11613876319759,50.0,50.0
20.18,21.594099999999997,21.9164,21.11613876319759,21.11613876319759,50.0,50.0
25.05,22.238699999999998,22.238699999999998,21.11613876319759,21.11613876319759,50.0,50.0
32.73,22.8833,22.8833,21.11613876319759,21.11613876319759,50.0,50.0
35.13,23.205599999999997,22.8833,21.11613876319759,21.11613876319759,50.0,50.0
40.05,23.5279,23.5279,21.11613876319759,21.11613876319759,50.0,50.0
45.18,24.1725,24.1725,21.11613876319759,21.11613876319759,50.0,50.0
50.04,24.494799999999998,24.494799999999998,21.11613876319759,21.11613876319759,50.0,50.0
55.36,25.1394,25.1394,21.11613876319759,21.11613876319759,50.0,50.0
60.28,25.461699999999997,25.461699999999997,21.11613876319759,21.11613876319759,50.0,50.0
65.19,26.106299999999997,26.106299999999997,21.11613876319759,21.11613876319759,50.0,50.0
70.14,26.4286,26.4286,21.11613876319759,21.11613876319759,50.0,50.0
75.08,26.750899999999998,26.750899999999998,21.11613876319759,21.11613876319759,50.0,50.0
80.47,27.3955,27.717799999999997,21.11613876319759,21.11613876319759,50.0,50.0
85.07,27.717799999999997,27.717799999999997,21.11613876319759,21.11613876319759,50.0,50.0
90.06,28.0401,28.0401,21.11613876319759,21.11613876319759,50.0,50.0
95.11,28.6847,28.362399999999997,21.11613876319759,21.11613876319759,50.0,50.0
100.06,29.006999999999998,29.006999999999998,21.11613876319759,21.11613876319759,50.0,50.0
105.52,29.329299999999996,29.6516,21.11613876319759,21.11613876319759,50.0,50.0
110.16,29.6516,29.6516,21.11613876319759,21.11613876319759,50.0,50.0
115.15,29.973899999999997,29.973899999999997,21.11613876319759,21.11613876319759,50.0,50.0
120.1,30.2962,30.2962,21.11613876319759,21.11613876319759,50.0,50.0
125.26,30.618499999999997,30.618499999999997,21.11613876319759,21.11613876319759,50.0,50.0
130.32,30.940799999999996,31.263099999999998,21.11613876319759,21.11613876319759,50.0,50.0
135.22,31.263099999999998,31.263099999999998,21.11613876319759,21.11613876319759,50.0,50.0
140.0,31.585399999999996,31.585399999999996,21.11613876319759,21.11613876319759,50.0,50.0
145.17,31.9077,31.9077,21.11613876319759,21.11613876319759,50.0,50.0
150.05,32.23,32.23,21.11613876319759,21.11613876319759,50.0,50.0
155.5,32.552299999999995,32.552299999999995,21.11613876319759,21.11613876319759,50.0,50.0
160.26,32.552299999999995,32.8746,21.11613876319759,21.11613876319759,50.0,50.0
165.0,32.8746,32.8746,21.11613876319759,21.11613876319759,50.0,50.0
170.02,33.1969,33.1969,21.11613876319759,21.11613876319759,50.0,50.0
175.27,33.5192,33.5192,21.11613876319759,21.11613876319759,50.0,50.0
180.08,33.5192,33.5192,21.11613876319759,21.11613876319759,50.0,50.0
185.28,33.841499999999996,33.841499999999996,21.11613876319759,21.11613876319759,50.0,50.0
190.02,34.163799999999995,34.163799999999995,21.11613876319759,21.11613876319759,50.0,50.0
