Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
5.0,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
10.03,20.949499999999997,21.2718,21.11613876319759,21.11613876319759,50.0,50.0
15.01,21.594099999999997,21.2718,21.11613876319759,21.11613876319759,50.0,50.0
20.03,21.594099999999997,21.594099999999997,21.11613876319759,21.11613876319759,50.0,50.0
25.03,22.238699999999998,22.238699999999998,21.11613876319759,21.11613876319759,50.0,50.0
30.03,22.561,22.561,23.2579185520362,20.48265460030166,52.0,50.0
35.05,23.205599999999997,23.205599999999997,43.60482654600302,14.464555052790349,71.0,50.0
40.02,23.850199999999997,23.5279,43.60482654600302,14.464555052790349,71.0,50.0
45.05,24.494799999999998,23.850199999999997,43.60482654600302,14.464555052790349,71.0,50.0
50.02,25.1394,24.494799999999998,43.60482654600302,14.464555052790349,71.0,50.0
60.08,26.750899999999998,25.1394,43.60482654600302,14.464555052790349,71.0,50.0
65.0,27.717799999999997,25.461699999999997,43.60482654600302,14.464555052790349,71.0,50.0
70.01,28.6847,26.106299999999997,43.60482654600302,14.464555052790349,71.0,50.0
75.0,29.6516,26.106299999999997,43.60482654600302,14.464555052790349,71.0,50.0
80.19,30.2962,26.750899999999998,43.60482654600302,14.464555052790349,71.0,50.0
85.24,31.263099999999998,27.073199999999996,43.60482654600302,14.464555052790349,71.0,50.0
100.07,33.841499999999996,28.0401,43.60482654600302,14.464555052790349,71.0,50.0
