Time,T1,T2,U1,U2,SP1,SP2
0,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
5.02,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
10.02,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
15.0,21.594099999999997,21.594099999999997,21.11613876319759,21.11613876319759,50.0,50.0
20.03,21.594099999999997,21.9164,21.11613876319759,21.11613876319759,50.0,50.0
25.04,22.238699999999998,22.238699999999998,21.11613876319759,21.11613876319759,50.0,50.0
30.08,22.561,22.561,21.11613876319759,21.11613876319759,50.0,50.0
35.07,23.205599999999997,23.205599999999997,21.11613876319759,21.11613876319759,50.0,50.0
40.12,23.5279,23.5279,21.11613876319759,21.11613876319759,50.0,50.0
45.15,24.1725,24.1725,21.11613876319759,21.11613876319759,50.0,50.0
50.17,24.494799999999998,24.494799999999998,21.11613876319759,21.11613876319759,50.0,50.0
55.19,25.1394,25.1394,21.11613876319759,21.11613876319759,50.0,50.0
60.02,25.461699999999997,25.461699999999997,21.11613876319759,21.11613876319759,50.0,50.0
65.06,26.106299999999997,26.106299999999997,21.11613876319759,21.11613876319759,50.0,50.0
70.24,26.4286,26.4286,21.11613876319759,21.11613876319759,50.0,50.0
75.01,26.750899999999998,27.073199999999996,21.11613876319759,21.11613876319759,50.0,50.0
80.33,27.3955,27.3955,21.11613876319759,21.11613876319759,50.0,50.0
85.1,27.717799999999997,27.717799999999997,21.11613876319759,21.11613876319759,50.0,50.0
90.21,28.362399999999997,28.0401,21.11613876319759,21.11613876319759,50.0,50.0
95.23,28.6847,28.6847,21.11613876319759,21.11613876319759,50.0,50.0
100.23,29.006999999999998,29.006999999999998,21.11613876319759,21.11613876319759,50.0,50.0
105.13,29.329299999999996,29.329299999999996,21.11613876319759,21.11613876319759,50.0,50.0
110.2,29.6516,29.6516,21.11613876319759,21.11613876319759,50.0,50.0
115.12,29.973899999999997,29.973899999999997,21.11613876319759,21.11613876319759,50.0,50.0
120.12,30.2962,30.2962,21.11613876319759,21.11613876319759,50.0,50.0
125.01,30.618499999999997,30.618499999999997,21.11613876319759,21.11613876319759,50.0,50.0
130.22,30.940799999999996,30.940799999999996,21.11613876319759,21.11613876319759,50.0,50.0
135.2,31.263099999999998,31.263099999999998,21.11613876319759,21.11613876319759,50.0,50.0
140.15,31.585399999999996,31.585399999999996,21.11613876319759,21.11613876319759,50.0,50.0
145.23,31.9077,31.9077,21.11613876319759,21.11613876319759,50.0,50.0
150.25,32.23,32.23,21.11613876319759,21.11613876319759,50.0,50.0
155.22,32.23,32.552299999999995,21.11613876319759,21.11613876319759,50.0,50.0
160.01,32.552299999999995,32.552299999999995,21.11613876319759,21.11613876319759,50.0,50.0
165.29,32.8746,32.8746,21.11613876319759,21.11613876319759,50.0,50.0
170.04,33.1969,33.1969,21.11613876319759,21.11613876319759,50.0,50.0
175.22,33.5192,33.5192,21.11613876319759,21.11613876319759,50.0,50.0
180.12,33.841499999999996,33.5192,18.58220211161388,29.68325791855204,50.0,58.0
185.22,33.841499999999996,33.841499999999996,13.197586726998495,47.88838612368024,50.0,75.0
190.13,34.163799999999995,34.163799999999995,11.930618401206639,52.17194570135748,50.0,79.0
195.25,34.163799999999995,34.4861,8.446455505279037,63.95173453996984,50.0,90.0
205.41,34.163799999999995,36.0976,6.862745098039217,69.30618401206638,50.0,95.0
210.07,34.163799999999995,37.064499999999995,5.595776772247361,73.5897435897436,50.0,99.0
215.21,34.163799999999995,38.0314,5.595776772247361,73.5897435897436,50.0,99.0
220.21,34.163799999999995,38.9983,5.595776772247361,73.5897435897436,50.0,99.0
225.09,34.163799999999995,40.287499999999994,5.595776772247361,73.5897435897436,50.0,99.0
230.04,34.163799999999995,41.2544,5.595776772247361,73.5897435897436,50.0,99.0
235.16,34.163799999999995,42.5436,5.595776772247361,73.5897435897436,50.0,99.0
240.03,34.163799999999995,43.51049999999999,5.595776772247361,73.5897435897436,50.0,99.0
245.21,34.163799999999995,44.799699999999994,5.595776772247361,73.5897435897436,50.0,99.0
250.16,34.163799999999995,45.7666,5.595776772247361,73.5897435897436,50.0,99.0
255.04,34.163799999999995,47.0558,5.595776772247361,73.5897435897436,50.0,99.0
260.14,34.163799999999995,48.02269999999999,5.595776772247361,73.5897435897436,50.0,99.0
265.14,34.163799999999995,48.989599999999996,5.595776772247361,73.5897435897436,50.0,99.0
270.21,34.163799999999995,49.9565,5.595776772247361,73.5897435897436,50.0,99.0
275.24,34.163799999999995,50.923399999999994,5.595776772247361,73.5897435897436,50.0,99.0
280.0,34.163799999999995,51.890299999999996,5.595776772247361,73.5897435897436,50.0,99.0
285.19,34.163799999999995,52.8572,5.595776772247361,73.5897435897436,50.0,99.0
290.02,34.163799999999995,53.501799999999996,5.595776772247361,73.5897435897436,50.0,99.0
295.21,34.163799999999995,54.4687,5.595776772247361,73.5897435897436,50.0,99.0
300.06,34.163799999999995,55.435599999999994,5.595776772247361,73.5897435897436,50.0,99.0
305.19,34.163799999999995,56.0802,5.595776772247361,73.5897435897436,50.0,99.0
310.1,34.163799999999995,56.724799999999995,5.595776772247361,73.5897435897436,50.0,99.0
315.12,34.163799999999995,57.6917,5.595776772247361,73.5897435897436,50.0,99.0
320.1,34.163799999999995,58.336299999999994,5.595776772247361,73.5897435897436,50.0,99.0
325.24,34.163799999999995,58.9809,5.595776772247361,73.5897435897436,50.0,99.0
330.2,34.163799999999995,59.625499999999995,5.595776772247361,73.5897435897436,50.0,99.0
335.27,34.163799999999995,60.27009999999999,5.595776772247361,73.5897435897436,50.0,99.0
340.21,34.163799999999995,60.914699999999996,5.595776772247361,73.5897435897436,50.0,99.0
345.22,34.163799999999995,61.55929999999999,5.595776772247361,73.5897435897436,50.0,99.0
350.09,34.163799999999995,61.88159999999999,5.595776772247361,73.5897435897436,50.0,99.0
355.19,34.4861,62.526199999999996,5.595776772247361,73.5897435897436,50.0,99.0
360.13,34.163799999999995,63.17079999999999,5.595776772247361,73.5897435897436,50.0,99.0
365.17,34.4861,63.8154,5.595776772247361,73.5897435897436,50.0,99.0
370.21,34.163799999999995,64.1377,5.595776772247361,73.5897435897436,50.0,99.0
375.24,34.4861,64.46,5.595776772247361,73.5897435897436,50.0,99.0
380.09,34.163799999999995,65.10459999999999,5.595776772247361,73.5897435897436,50.0,99.0
385.21,34.163799999999995,65.42689999999999,5.595776772247361,73.5897435897436,50.0,99.0
390.21,34.163799999999995,66.0715,5.595776772247361,73.5897435897436,50.0,99.0
395.19,34.4861,66.3938,5.595776772247361,73.5897435897436,50.0,99.0
400.23,34.4861,66.7161,5.595776772247361,73.5897435897436,50.0,99.0
405.08,34.4861,67.0384,5.595776772247361,73.5897435897436,50.0,99.0
410.01,34.163799999999995,67.3607,5.595776772247361,73.5897435897436,50.0,99.0
415.18,34.4861,68.00529999999999,5.595776772247361,73.5897435897436,50.0,99.0
420.15,34.4861,68.32759999999999,5.595776772247361,73.5897435897436,50.0,99.0
425.09,34.4861,68.64989999999999,5.595776772247361,73.5897435897436,50.0,99.0
430.03,34.4861,68.9722,5.595776772247361,73.5897435897436,50.0,99.0
435.03,34.4861,69.2945,5.595776772247361,73.5897435897436,50.0,99.0
